Audley Court Ltd.,5160167,48.6,1
AUDLEY TRAVEL GROUP LIMITED,3190720,25.6,25.6
Autism East Midlands,2053860,4.6,0
AUTISM SUSSEX LIMITED,3149907,-2,-2
Autism Together,2658268,-0.7,0
AUTOSCAN (UK) LIMITED,6834446,-8.5,-13.5
AUTO-SLEEPERS GROUP LIMITED,3978237,18.8,18.8
AUTO-SLEEPERS INVESTMENTS LIMITED,6874019,18.8,18.8
Avante Care And Support Ltd.,2565021,18.2,8.8
AVIVA EMPLOYMENT SERVICES LIMITED,3280551,27,26.4
Aviva Investors Employment Services Ltd.,3884917,23.8,21
Awe PLC,2763902,12.9,16.7
AXA GLOBAL HEALTHCARE (UK) LIMITED,3039521,13.1,-0.5
AXA GLOBAL SERVICES UK LIMITED,1854856,17,21
AXA ICAS LIMITED,2548573,15.2,3.2
AXA INVESTMENT MANAGERS LIMITED,3886111,29.7,27.2
Axa Ppp Healthcare Group Ltd.,3148346,26.9,7.6
AXA SERVICES LIMITED,446043,25.2,27
AXA UK PLC,2937724,20.6,20.4
Axminster Tool Centre Ltd,3326979,10,5
AXON SOLUTIONS LIMITED,2976395,24.7,13.2
B & Q PLC,973387,8.8,2
B&CE HOLDINGS LIMITED,377361,29,22
B.E. WEDGE HOLDINGS LIMITED,336600,12.3,17.7
BAE SYSTEMS (Operations) Limited,1996687,9.8,7.8
Bae Systems Applied Intelligence Limited,1337451,17.9,21
BAE SYSTEMS GLOBAL COMBAT SYSTEMS LIMITED,414948,16.9,18.6
BAE SYSTEMS GLOBAL COMBAT SYSTEMS MUNITIONS LIMITED,1842252,7.7,6.8
BAE SYSTEMS MARINE LIMITED,229770,16.1,16.1
BAE Systems Plc,1470151,17.3,15.6
BAE SYSTEMS SURFACE SHIPS LIMITED,6160534,8,8.4
Bags Etc Ltd.,4773542,26.8,0
BAILEY EMPLOYMENT SERVICES LIMITED,2831657,-3.9,-4.8
Baker Tilly Management Ltd.,3077999,14.8,21.5
BAKKAVOR FOODS LIMITED,1060806,11,7.8
BAKKAVOR FRESH COOK LIMITED,5251496,6.5,5.8
BALANS RESTAURANTS LIMITED,8410036,5.9,11.1
Barclays Bank PLC,1026167,48,43.5
BARCLAYS BANK UK PLC,9740322,26,14.2
BARCLAYS SERVICES LIMITED,1767980,25.8,29.9
BARFOOTS OF BOTLEY LIMITED,2383478,26.8,-4.8
